,github_repo_url,repo_description,topics,owner_repo_name,owner_name,owner_type,organization_bio,repo_created_day,primary_language_name,license_name,is_github_pages,has_readme,has_wiki,has_merged_prs,has_issues,has_contributor_guide,has_code_of_conduct,count_of_public_forks,count_of_stars,count_of_watchers,count_distinct_contributors,count_contributions,count_commits,count_commit_comments,count_created_issues,count_pull_requests_created,count_pull_requests_reviews,count_comments_on_issues_and_pull_requests,language,is_latin,repo_description_cleaned,repo_description_plus_topic
0,https://github.com/sangyx/nCoV-Map,ncov-map: new pneumonia epidemic map,ncovmap ncovdatavisual 2019ncov,sangyx/nCoV-Map,sangyx,User,,2020-01-22,css,mit,False,True,True,True,True,False,False,9,46,46,11,36,18,0,6,1,0,11,sk,True,ncovmap new pneumonia epidemic map,ncovmap new pneumonia epidemic map ncovmap ncovdatavisual 2019ncov css
1,https://github.com/theleadio/coronatracker,api for current cases and more stuff about covid-19 or the novel coronavirus strain,,theleadio/coronatracker,theleadio,Organization,,2020-01-25,python,,False,True,True,True,True,False,False,3,14,14,6,26,24,0,0,2,0,0,en,True,api for current cases and more stuff about covid19 or the novel coronavirus strain,api for current cases and more stuff about covid19 or the novel coronavirus strain  python
2,https://github.com/tartsun/anti2019-nCoV,standing with wuhan. ,,tartsun/anti2019-nCoV,tartsun,User,,2020-01-23,java,gpl-3.0,False,False,True,True,True,False,False,3,0,0,5,55,54,0,0,1,0,0,en,True,standing with wuhan ,standing with wuhan   java
3,https://github.com/MeoncStudio/Anti_2019-ncoV,welcome to glacier data project. a post-wuhan2020 project for data science,,MeoncStudio/Anti_2019-ncoV,MeoncStudio,Organization,jm · cy,2020-01-27,vue,,False,True,True,True,True,False,False,1,2,2,2,45,44,0,0,1,0,0,en,True,welcome to glacier data project a postwuhan2020 project for data science,welcome to glacier data project a postwuhan2020 project for data science  vue
4,https://github.com/Mayandev/nCoV-notes,Record the stories and lives of different people under ncov,ncov 2020ncov,Mayandev/nCoV-notes,Mayandev,User,,2020-01-26,css,mit,True,True,True,True,True,False,False,1,3,3,2,41,38,0,0,2,0,1,zh-cn,True,Record the stories and lives of different people under ncov,Record the stories and lives of different people under ncov ncov 2020ncov css
5,https://github.com/lbj96347/2020-new-coronavirus-info-crawler," 🦠 track the coronavirus disease (covid-19) or the novel coronavirus strain in the command line. both worldwide for all countries, for one country, or for the us states. fast response time (< 100ms).",,lbj96347/2020-new-coronavirus-info-crawler,lbj96347,User,,2020-01-22,javascript,gpl-3.0,False,True,True,True,True,False,False,1,2,2,2,16,13,0,0,2,0,1,en,True, 🦠 track the coronavirus disease covid19 or the novel coronavirus strain in the command line both worldwide for all countries for one country or for the us states fast response time  100ms, 🦠 track the coronavirus disease covid19 or the novel coronavirus strain in the command line both worldwide for all countries for one country or for the us states fast response time  100ms  javascript
6,https://github.com/6yi/WechatCronAuto2019-nCov,ethically sourcing data for the fight against disease.,,6yi/WechatCronAuto2019-nCov,6yi,User,,2020-01-24,go,mit,False,True,True,True,True,False,False,0,1,1,2,35,26,0,1,1,0,7,ko,True,ethically sourcing data for the fight against disease,ethically sourcing data for the fight against disease  go
7,https://github.com/globalcitizen/2019-wuhan-coronavirus-data,2019 wuhan coronavirus data (2019-ncov),opendata epedemic wuhan epedemiology virology viruses pathogens 2019ncov 2019ncov coronavirus pandemic,globalcitizen/2019-wuhan-coronavirus-data,globalcitizen,User,,2020-01-25,php,gpl-3.0,False,True,True,True,True,False,False,6,26,26,2,116,108,0,0,2,3,3,it,True,2019 wuhan coronavirus data 2019ncov,2019 wuhan coronavirus data 2019ncov opendata epedemic wuhan epedemiology virology viruses pathogens 2019ncov 2019ncov coronavirus pandemic php
8,https://github.com/wuhan-support/wuhan.support,#wuhan refueling #wuhan-support What we care about is what you care about: a multi-dimensional information integration platform for people and medical institutions inside and outside the epidemic area,wuhansupport wuhanpneumonia ncov,wuhan-support/wuhan.support,wuhan-support,Organization,"#武汉加油 #wuhan-support 我们关注你所关注的，我们支持需要支持的。 we care what you care, we support who needs support.",2020-01-24,python,gpl-3.0,True,True,True,True,True,False,False,29,113,113,21,224,163,0,22,8,0,31,zh-cn,True,wuhan refueling wuhansupport What we care about is what you care about a multidimensional information integration platform for people and medical institutions inside and outside the epidemic area,wuhan refueling wuhansupport What we care about is what you care about a multidimensional information integration platform for people and medical institutions inside and outside the epidemic area wuhansupport wuhanpneumonia ncov python
9,https://github.com/wuhan-support/frontend,api for current cases and more stuff about covid-19 or the novel coronavirus strain,vue feiyan wuhanpneumonia vuejs science openness ncov wuhansupport support,wuhan-support/frontend,wuhan-support,Organization,"#武汉加油 #wuhan-support 我们关注你所关注的，我们支持需要支持的。 we care what you care, we support who needs support.",2020-01-26,vue,gpl-3.0,False,True,True,True,True,False,False,8,8,8,11,133,106,0,7,14,3,3,ko,True,api for current cases and more stuff about covid19 or the novel coronavirus strain,api for current cases and more stuff about covid19 or the novel coronavirus strain vue feiyan wuhanpneumonia vuejs science openness ncov wuhansupport support vue
